연 번,관리기관,설치연도,설치구간,연장(m)
173,중랑구,2021,상봉로16길(망우동 521-6~521-32),100
174,중랑구,2022,면목로56길 85~사가정로 357,40
175,중랑구,2022,면목로54길 81~사가정로 349,40
176,중랑구,2022,면목로 327(버스정류장),10
177,중랑구,2022,사가정로 387(버스정류장),10
178,중랑구,2022,면목로22길 14~답십리로87길 17,100
179,중랑구,2022,면목로30길 13~33,100
180,중랑구,2022,용마산로40길 28~8,130
181,중랑구,2022,"용마산로45길 48~60, 용마산로45길 16~24",150
182,중랑구,2022,용마산로99길 9~봉우재로64길 65,70
183,중랑구,2022,봉우재로64길 59~용마산로101길 19,130
184,중랑구,2023,겸재로48길 31~겸재로42길 42,100
185,중랑구,2023,용마산로94길 84~64-120,80
186,중랑구,2023,면목로30나길 17~면목로34길 28,70
187,중랑구,2023,봉우재로58길 44~26,110
188,중랑구,2023,면목로22길 32~답십리로87길 12,55
189,중랑구,2023,사가정로72길 26~용마산로62길 43,150
190,중랑구,2023,봉우재로71길 74~79-3,90
191,중랑구,2023,동일로126가길 11,50
192,중랑구,2023,동일로140길 88~동일로144길 84,200
193,중랑구,2023,상봉중앙로8길 27~35,40
194,중랑구,2024,망우로91길(망우동 산 56-1),230
195,중랑구,2024,봉우재로65길 30 ~ 45,90
196,중랑구,2024,봉우재로65길 8 ~ 봉우재로 221,60
197,중랑구,2024,용마산로 329 ~ 면목로44바길 2,80
198,중랑구,2024,용마산로 304 ~ 용마산로58길 50,230
199,중랑구,2024,용마산로118길 119 ~ 125,60
200,중랑구,2024,용마산로 388 ~ 용마산로86길 9-14,110
201,중랑구,2024,봉화산로 153 ~ 봉화산로45길 9-31,140
202,성북구,2016,성북로4길 21 ~ 성북로 12,15
203,성북구,2018,보국문로 160 ~ 솔샘로25가길 8,310
204,성북구,2018,동소문로28길∼26마길 59,80
205,성북구,2019,길음로15가길 3 ~ 길음로 103,256
206,성북구,2019,장위로 4 ~ 장위로 31,280
207,성북구,2019,장위로15길 94-1 ~ 장위로15길 113,130
208,성북구,2020,오패산로16가길 99 ~ 오패산로16가길 76,159
209,성북구,2020,장위로10길 2 ~ 장위로10길 28,112
210,성북구,2020,오패산로16길 37 ~ 오패산로 69,323
211,성북구,2020,보국문로28길 10 ~ 보국문로28길 32,217
212,성북구,2020,서경로 153 ~ 보국문로16길 98,277
213,성북구,2020,보국문로14길 9 ~ 보국문로16길 2,67
214,성북구,2020,정릉로9나길 30-6 ~ 정릉로9길 48,85
215,성북구,2020,정릉로10길 114 ~ 북악산로 537-14,412
216,성북구,2020,북악산로 762-12 ~ 아리랑로5길 147,75
217,성북구,2020,동소문로34길 24 ~ 정릉로 364,268
218,성북구,2020,화랑로18길 59-4 ~ 화랑로18길 74,45
219,성북구,2021,성북로4길 52-1 ~ 아리랑로5길 25,60
220,성북구,2021,북악산로 825 ~ 북악산로 825-44,170
221,성북구,2021,정릉로 236 ~ 정릉로24길 58,300
222,성북구,2021,정릉로12길 12 ~ 정릉로12길 44-5,200
223,성북구,2021,길음로 142,200
224,성북구,2021,아리랑로12길 3 ~ 아리랑로16길 20,150
225,성북구,2021,아리랑로6가길 30 ~ 아리랑로6나길 11,50
226,성북구,2021,정릉로52길 46 ~ 정릉로52길 14,250
227,성북구,2021,종암로21길 127 ~ 종암로25길 30,250
228,성북구,2021,종암로23길 52 ~ 종암로25길 14,180
229,성북구,2021,장위로6길 2 ~ 장위로10길 24-22,110
230,성북구,2022,성북로4길 21 ~ 성북로8길 71,343
231,성북구,2022,동부센트레빌 ~ 개운초교,256
232,성북구,2022,동소문로3길 54 ~ 성북로2길 47,90
233,성북구,2022,동소문로32길 4 ~ 북악산로 902,90
234,성북구,2022,길음로15가길 3 ~ 길음로15가길 53,270
235,성북구,2022,성북로4길 177,116
236,성북구,2022,북악산로 809 ~ 아리랑로18길 27,120
237,성북구,2022,석관동 10-1 ~ 석계교,50
238,성북구,2022,길음동 918-3 ~ 길음동 1289-4,50
239,성북구,2023,보문사길 86 ~ 보문사길 120,193
240,성북구,2023,아리랑로5길 24 ~ 아리랑로2길 58,180
241,성북구,2023,보문로29다길 31 ~ 보문로20다길 31,240
242,성북구,2023,길음로9길 74 ~ 길음로9길 50,170
243,성북구,2023,북악산로1길 26-23 ~ 북악산로1길 140,140
244,성북구,2023,정릉로42길 20 ~ 북악산로 851,250
245,성북구,2023,보문사길 29 ~ 지봉로 172,55
246,성북구,2023,동소문로15길 100 ~ 동소문로13나길 115,80
247,성북구,2023,정릉로10길 107 ~ 정릉로10길 82,170
248,성북구,2023,종암로23길 17 ~ 종암로23길 52,170
249,성북구,2023,성북로14가길 4 ~ 성북로14가길 17,90
250,성북구,2023,정릉로12길 44-1 ~ 정릉로10가길 32,40
251,성북구,2024,보국문로32길 29 ~ 보국문로32길 68,210
252,성북구,2024,보문로34다길 49 ~ 보문로34다길 48-29,95
253,성북구,2024,정릉동 232 ~ 정릉동 239-14,100
254,성북구,2024,장월로3길 1 ~ 장월로3길 42,185
255,성북구,2024,길음동 1286-4 ~ 길음로 33,195
256,성북구,2024,정릉로44길 7 ~ 정릉로44길 19,170
257,성북구,2024,정릉로10다길 3 ~ 정릉로10다길 49,300
258,성북구,2024,보문로22길 36 ~ 고려대로 40,300
259,성북구,2024,정릉로44길 37 ~ 동소문로34길 24,430
260,강북구,2017,"노해로35길 113(교량, 쌍문414앞교)",26
261,강북구,2019,도봉로34길 58 ~오패산로52길 38,350
262,강북구,2019,솔매로 2~24,250
263,강북구,2019,"노해로35길 61(교량, 계성교)",36
264,강북구,2020,삼양로41가길 15~42,90
265,강북구,2021,인수봉로 40 ~ 인수봉로12길 63,335
266,강북구,2021,솔매로 24 ~ 38,130
267,강북구,2022,솔매로 147~ 154,90
268,강북구,2022,도봉로34길 66,20
269,강북구,2022,오패산로 271~257,180
270,강북구,2022,덕릉로 134~130,220
271,강북구,2022,오현로 35~오현로9길 45,250
272,강북구,2022,삼양로19길 206~154,285
273,강북구,2024,도봉로76길 66~덕릉로40다길 9,250
274,강북구,2024,삼양로19길 154~55,450
275,강북구,2024,인수봉로23가길 10~56,260
276,강북구,2024,"솔샘터널 상단 회차구간(일방통행 1차로, 마을버스 통행구간)",300
277,강북구,2024,삼양로63가길 3,70
278,도봉구,2019,도봉로117길(둥근달어린이공원),20
279,도봉구,2019,도동봉로113길(쌍문시장 입구),50
280,도봉구,2019,노해로44길(쌍문3동 주민센터),30
281,도봉구,2020,노해로44길 40~46,36
282,도봉구,2020,노해로48길 29~33,42
283,도봉구,2020,도봉로109길 91~92,48
284,도봉구,2020,노해로 195~노해로49길 10,32
285,도봉구,2020,덕릉로60길 135~135-13,66
286,도봉구,2020,해등로3길 85~창동 산107-223,69
287,도봉구,2021,우이천로48길 63,37
288,도봉구,2021,우이천로38라길 4~25,130
289,도봉구,2021,덕릉로60길 109-64~109-58,65
290,도봉구,2021,노해로 267,18
291,도봉구,2021,우이천로38길 25~100,473
292,도봉구,2022,노해로217~노해로49길 68,150
293,도봉구,2022,도봉로121길 28~60,185
294,도봉구,2022,우이천로38길 88 ~ 우이천로38마길 34,190
295,도봉구,2022,노해로49길 26-3 ~ 52,150
296,도봉구,2022,우이천로38라길 25-4~54,150
297,도봉구,2022,노해로45길 17~26 (쌍문동 둘리뮤지엄 일대),290
298,도봉구,2023,우이천로38나길 61~38,150
299,도봉구,2023,우이천로38라길 14 ~ 우이천로32길 65,160
300,도봉구,2023,노해로44길 35~59,90
301,도봉구,2023,노해로45길 48~우이천로32길 98,120
302,도봉구,2023,노해로45길 38~노해로45길 38-24,130
303,도봉구,2023,쌍문동 산67-4~쌍문동 산83-24,280
304,도봉구,2023,도봉로127길 15 ~ 43-10,200
305,도봉구,2023,노해로57길 20 ~ 노해로227,105
306,도봉구,2023,노해로46길 71 주변,26
307,도봉구,2023,덕릉로62길 26 ~ 덕릉로 268,124
308,도봉구,2023,노해로41가길 17 주변,110
309,도봉구,2023,노해로221 ~ 노해로57길 11,120
310,도봉구,2023,노해로 198 ~ 노해로48길 39,63
311,도봉구,2023,도봉산4길 28-3 주변,110
312,도봉구,2023,덕릉로63가길 43 주변,125
313,도봉구,2024,노해로40길 11 ~ 노해로 156,80
314,도봉구,2024,해등로 3길 63,200
315,노원구,2021,노원구 월계동 950-2~월계동 666-10,240
316,노원구,2022,노원구 중계동 129-2,150
317,노원구,2022,노원구 상계동 1270,120
318,노원구,2022,노원구 상계동 1000-7,60
319,노원구,2022,노원구 월계역 2번출구,30
320,노원구,2024,노원구 수락산로,195
321,노원구,2024,노원구 염불사,635
322,노원구,2024,노원구 상계동 1274-1275,230
323,노원구,2024,노원구 월계동 429-4 ~429-9,150
324,노원구,2024,월계동 411-47 ~ 428-2,160
325,은평구,"2014(상행)/
2021(하행)",신사동 192-1~신사동 222-4,670
326,은평구,2022,홍익아파트~형진아파트,120
327,은평구,2022,응암동 240-1~응암동 241-69,225
328,은평구,2022,현대홈타운 104동~현대홈타운 106동,300
329,은평구,2022,응암2동주민센터~백련산로4길 25,335
330,은평구,2023,불광동 635-4~불광동 637-5,669
331,은평구,2023,응암동 334-35~응암동 648,360
332,은평구,2024,녹번동 19-46~녹번동 283,734
333,은평구,2024,녹번동 53-35~녹번동 283,640
334,서대문구,2023,연세로2마길 33일대,135
335,서대문구,2023,세검정로4길 91~151 (개미마을 일대),290
336,서대문구,2017,모래내로438~ 모래내로24길 23(고은초교 맞은편 일대),203
337,서대문구,2019,통일로 348(서부수도사업소),100
338,서대문구,2017,연희로41길 135~167,200
339,서대문구,2018,연희로 11마길 49~75(연희 궁동공원),140
340,서대문구,2019,백련사길(가좌로2길 50~홍은동 산 23-1),155
341,서대문구,2020,정원여자중학교 일대(홍은동 265-286),400
342,서대문구,2019,홍은동 466(논골작은도서관),30
343,서대문구,2020,연희로 39나길22~연희로39길54(홍은동 제2공영주차장),65
344,서대문구,2020,이화여대 8길2~10,65
345,서대문구,2021,수색로 8길 80~62(북가좌초등학교),78
346,서대문구,2021,홍은중앙로 168~133-2,420
347,서대문구,2022,"정원단지 일대(연희로39길 12~연희로331, 연희로39길 28~55, 연희로39길 89~75)",300
348,서대문구,2020,"연희로 32길 20,연희로36길 26~32(대림아파트, 구의회 앞)",620
349,서대문구,2020,"명지길 33~모래내로 299,홍은중앙로 124-1, 홍은중앙로 174~181",352
350,서대문구,2022,"북아현로25길 30~ 23길 25, 북아현로 1나길 22",430
351,서대문구,2022,"명지길 143~명지2길 45, 명지2길56, 세검정로4길 32~92",480
352,서대문구,2023,"연희로 246~연희로32길 129, 북가좌동 360-2, 증가로28길",380
353,서대문구,2023,통일로39길 일대 외 1개소,370
354,서대문구,2023,"모래내로28길, 통일로28나길",200
355,서대문구,2023,경기대로9길,270
356,서대문구,2023,통일로19길,145
357,서대문구,2023,"명지대3길,증가로12가길(연가초),홍연2길",400
358,서대문구,2023,"연세로4길일대,문화촌길 일대",656
359,서대문구,2023,외국어학교 진입로,185
360,서대문구,2023,"서대문12번 마을버스노선, 연희로2길(마스터필딩옆)",455
361,서대문구,2023,"홍제삼성래미안apt후문,홍제역3번출구,연희로41다길",275
362,서대문구,2023,"포방터길, 연세로4길81~신촌역로43",352
363,마포구,2022,"서강로16길, 18길, 20길(노고산동 109-118 외 2개소)",75
364,마포구,2022,마포대로11길(마포대로11길 84),135
365,마포구,2022,독막로(독막로 109-111),110
366,마포구,2022,"효창목4길(효창목4길 3 ~ 23, 효창목길 18 ~ 30)",260
367,마포구,2022,마포대로24길(아현동 605-3~378-53),130
368,마포구,2023,와우산로30길(와우산로30길 3 ~ 36),135
369,마포구,2023,고산길(고산길136~160),130
370,마포구,2023,성암로7길(성암로7길28),40
371,마포구,2023,"신촌로20길, 고산2길(노고산동31-39~12-64)",160
372,마포구,2023,"신촌로26길, 고산2길(대흥동811~노고산동4-72)",145
373,마포구,2023,신수로(신수동97-28~91-15),120
374,마포구,2023,월드컵북로30길(성산동144-6~147-5),85
375,마포구,2023,숭문6길(숭문6길22~백범로25길84),80
376,마포구,2023,신수로(신수로25-30 일대),45
377,마포구,2023,환일길 일대(아현동762~762-9),140
378,마포구,2023,마포대로4가길(마포대로8~마포대로4나길50),65
379,마포구,2023,삼개로(삼개로33),230
380,마포구,2023,마포대로7길(공덕동 342-30 ~ 328-1),100
381,마포구,2023,큰우물로2길(용강동 502-1),197
382,마포구,2023,환일길(만리재로 133 ~ 환일길 64),130
383,마포구,2023,백범로25길(백범로25길 99),105
384,마포구,2024,월드컵북로43길(월드컵북로43길 11 ~ 32),140
385,마포구,2024,토정로11길(토정로11길 19 ~ 39),100
386,마포구,2024,대흥로24길(염리동 10-132 ~ 10-28),150
387,마포구,2024,백범로25길(백범로25길 45 ~ 마포대로11길 118),170
388,마포구,2024,새창로8길(도화동 357-2),230
389,마포구,2024,손기정로(손기정로 32 ~ 56),110
390,마포구,2024,독막로28길(독막로28길 7),60
391,양천구,2023,목동중앙로3길 32 ~ 30-19,90
392,양천구,2023,목동중앙본로 17 ~ 목동중앙로5길 41,145
393,양천구,2023,목동중앙로5길 49 ~ 목동중앙본로 27,143
394,양천구,2023,목동중앙서로11길 11 ~ 32,110
395,양천구,2023,목동중앙본로27길 35 ~ 목동중앙북로8길 94,300
396,양천구,2024,지양로 131 ~ 지양로17길 24,200
397,양천구,2024,목동남로4길 10 ~ 6-46,470
398,양천구,2024,목동중앙본로2길 28-41 ~ 목동중앙본로18길 82,120
399,양천구,2024,신정로13길 20 ~ 51,470
400,양천구,2024,오목로 170 ~ 중앙로48길 47,100
401,양천구,2024,목동중앙북로 132 ~ 목동중앙로13나길 20,200
402,양천구,2024,목동중앙북로184길4 ~ 목동중앙북로98,60
403,양천구,2024,중앙로29길 110 ~ 신정동 1237 ,50
404,양천구,2024,중앙로25길 21 ~ 중앙로25길 28,50
